expected_items,observed_fp_mean,observed_fp_ci_lo,observed_fp_ci_hi,theoretical_fp,target_fp
1000,0.0113412,0.0112736264,0.0114087736,0.01140927076,0.01
5000,0.01192562,0.01189445979,0.01195678021,0.01195835995,0.01
10000,0.01196097,0.01193932509,0.01198261491,0.01195835995,0.01
50000,0.012128388,0.01211854374,0.01213823226,0.01212894128,0.01
100000,0.01215683,0.01214987447,0.01216378553,0.01215764139,0.01
500000,0.0121686,0.01214765533,0.01218954467,0.01218065743,0.01
1000000,0.01217293,0.01215103353,0.01219482647,0.01218353794,0.01
5000000,0.01216769,0.01214577406,0.01218960594,0.01218353794,0.01
10000000,0.01219275,0.01217232673,0.01221317327,0.01218382604,0.01
